Delivery_ID,Order_ID,Dispatch_Date,Delivery_Date,Carrier,Delivery_Status
DEL00001,ORD00001,2025-06-28,2025-07-03,Ecom Express,Delivered
DEL00002,ORD00002,2024-08-19,2024-08-22,Blue Dart,Delivered
DEL00003,ORD00003,2025-08-26,2025-08-29,Ecom Express,Delivered
DEL00004,ORD00004,2025-04-11,2025-04-19,Xpressbees,Delayed
DEL00005,ORD00005,2024-05-17,2024-05-20,Ecom Express,Delivered
DEL00006,ORD00006,2025-02-19,2025-02-23,Blue Dart,Delivered
DEL00007,ORD00007,2024-01-25,2024-01-29,Ecom Express,Delivered
DEL00008,ORD00008,2024-02-10,2024-02-13,BlueDart,Delivered
DEL00009,ORD00009,2024-02-19,2024-02-22,Blue Dart,Delivered
DEL00010,ORD00010,2025-03-03,2025-03-06,Delhivery,Delivered
DEL00011,ORD00011,2024-06-07,2024-06-15,Delhivery,Delayed
DEL00012,ORD00012,2025-06-18,2025-06-20,Delhivery,Delivered
DEL00013,ORD00013,2024-04-18,2024-04-20,Ecom Express,Delivered
DEL00014,ORD00014,2025-05-24,2025-05-27,Blue Dart,Delivered
DEL00015,ORD00015,2024-07-27,2024-07-31,Xpressbees,Delivered
DEL00016,ORD00016,2024-08-02,2024-08-06,Xpressbees,Delivered
DEL00017,ORD00017,2024-04-01,2024-04-06,Delhivery,Delivered
DEL00018,ORD00018,2025-06-07,2025-06-10,Delhivery,Delivered
DEL00019,ORD00019,2024-09-29,2024-10-02,Delhivery,Delivered
DEL00020,ORD00020,2024-10-26,2024-10-29,Delhivery,Delivered
DEL00021,ORD00021,2024-02-16,,DTDC,Delivered
DEL00022,ORD00022,2025-03-24,2025-03-27,DTDC,Delivered
DEL00023,ORD00023,2024-12-16,2024-12-25,Xpressbees,Delayed
DEL00024,ORD00024,2025-01-31,2025-02-03,Ecom Express,Delivered
DEL00025,ORD00025,2024-04-26,2024-05-01,Ecom Express,Delivered
DEL00026,ORD00026,2025-05-10,2025-05-19,Delhivery,Delayed
DEL00027,ORD00027,2025-01-03,2025-01-08,Delhivery,Delivered
DEL00028,ORD00028,2025-05-11,2025-05-14,Blue Dart,Delivered
DEL00029,ORD00029,2024-09-24,2024-09-26,Ecom Express,Delivered
DEL00030,ORD00030,2025-08-13,2025-08-19,Ecom Express,Delivered
DEL00031,ORD00031,2025-06-21,2025-06-26,Delhivery,Delivered
DEL00032,ORD00032,2025-05-09,2025-05-12,DTDC,Delivered
DEL00033,ORD00033,2024-02-27,2024-03-02,Xpressbees,Delivered
DEL00034,ORD00034,2024-06-18,2024-06-21,Xpressbees,Delivered
DEL00035,ORD00035,2024-02-22,2024-02-26,Blue Dart,Delivered
DEL00036,ORD00036,2024-08-28,2024-08-30,Ecom Express,Delivered
DEL00037,ORD00037,2025-05-27,2025-06-03,DTDC,Delayed
DEL00038,ORD00038,2024-04-15,2024-04-20,DTDC,Delivered
DEL00039,ORD00039,2024-04-04,2024-04-06,DTDC,Delivered
DEL00040,ORD00040,2025-07-30,2025-08-01,Ecom Express,Delivered
DEL00041,ORD00041,2024-08-16,2024-08-18,Delhivery,Delivered
DEL00042,ORD00042,2025-04-30,2025-05-08,Ecom Express,Delayed
DEL00043,ORD00043,2025-11-07,2025-11-12,Ecom Express,Delivered
DEL00044,ORD00044,2024-10-27,2024-11-03,Blue Dart,Delayed
DEL00045,ORD00045,2025-05-20,2025-05-25,Ecom Express,Delivered
DEL00046,ORD00046,2024-05-05,2024-05-08,Ecom Express,Delivered
DEL00047,ORD00047,2024-12-13,2024-12-17,DTDC,Delivered
DEL00048,ORD00048,2024-05-06,2024-05-08,Delhivery,Delivered
DEL00049,ORD00049,2024-05-18,2024-05-27,DTDC,Delayed
DEL00050,ORD00050,2025-03-19,2025-03-21,Ecom Express,Delivered
DEL00051,ORD00051,2025-12-10,2025-12-14,Delhivery,Delivered
